The Timeline: When did Minh Anh and Hiep's love story begin?	Since childhood	Since 2017	Since 2021	Last year	3
The Numbers Game: What is the age gap between Hiep and Minh Anh?	Hiep is 1 year older	Uncle Hiep is 15 years older	Minh Anh is 1 year older	Same age	1
The "Meet Cute": Where did Minh Anh and Hiep first cross paths?	At University	The Badminton Court	"Next Top Model" Shared House	Tinder	3
The Globetrotters: How many countries have they explored together?	3	4	5	6	3
Chemistry Challenge: Fermentation of m grams of glucose produces 100ml of 46° ethyl alcohol (density of pure C2H5OH is 0.8 g/ml). Given a reaction yield of 80%, the value of m is:	90.0 grams	112.5 grams	72.0 grams	144.0 grams	1
The Groom’s Grind: What is Hiep’s actual profession?	IT / Tech Wizard	Professional Badminton Player	SoundCloud Rapper	Jobless student	4
The Bride’s Hustle: What is Minh Anh's actual profession?	Part-time YouTuber	Project Manager	Bio-Hacker	Dragon Trainer	3
Secret Skills: What is the Groom's proudest achievement?	2nd Place in solving a Rubik's Cube with feet	Gold Medal in a Local Badminton Tournament	3rd Place - Underground Battle Rap Competition	1,000 League Points - Challenger Rank in Teamfight Tactics	1
The Hidden Talent: What is the Bride's secret skill?	She holds a black belt in Taekwondo	She had a startup that raised $100,000	She speaks 5 languages fluently	She has travelled to 10 Southeast Asian countries	1
Spot the Imposter: Three of these are TRUE, but one is a LIE. Which one is the lie?	The Truant Tour Guide: Minh Anh used to skip classes just to go guide tourists.	The Stage Name: Hiep actually has a rapper nickname.	The Good Girl: Minh Anh has never set foot in a bar in her life.	The Procrastinator: Hiep delayed his graduation simply because he was feeling lazy.	3
The Single Truth: Three of these are LIES, and only one is TRUE. Which is the real story?	The Tank: Minh Anh can down 6 bottles of Soju before getting drunk.	The Scholar: Minh Anh was the Valedictorian for Literature in her middle school exam.	The Lightweight: Hiep actually has a worse alcohol tolerance than Minh Anh.	The "Gaydar" Fail: When they first met, Minh Anh was 100% convinced Hiep was gay.	4
The Big Moment: Where did the proposal happen?	Grand Hyatt Hotel	During a concert in Taiwan	A cozy restaurant on Christmas Eve	Jiufen Old Street	1
The "Bling" Theory: Who gave the biggest rock?	Hiep gave Minh Anh a sensible 5mm diamond	Minh Anh gave Hiep a 10mm diamond (She's the boss)	Hiep gave Minh Anh a 100mm diamond (Is that a paperweight?)	Minh Anh gave Hiep a 500mm diamond (That's basically a hula hoop)	4
The Mastermind: Who is the real genius behind this wedding?	Hiep and Minh Anh	Our Planners and MC	ChatGPT, Gemini, Claude, and Cursor	All of the above	4